Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Mortality rate, adult, female (per 1,000 female adults);SP.DYN.AMRT.FE;392.8;387.779;399.382;376.425;371.91;367.684;357.269;353.496;354.26;337.628;328.378;318.242;317.8;297.443;287.444;278.143;268.639;259.359;277.361;238.02;232.338;231.351;220.287;207.414;195.802;187.396;181.188;180.141;172.866;161.996;183.57;154.614;149.087;147.207;141.636;140.487;130.993;129.873;124.575;120.787;117.106;113.466;109.985;122.949;103.012;88.443;86.977;87.374;94.103;100.907;92.21;84.109;79.85;78.193;72.435;69.95;66.922;61.3;62.474;64.742;85.824;78.881;null
Net bilateral aid flows from DAC donors, Germany (current US$);DC.DAC.DEUL.CD;349999.994;29999.99933;8600000.381;5760000.229;6789999.962;5099999.905;8189999.58;10720000.27;7409999.847;12140000.34;910000.0262;3259999.99;4869999.886;389999.9857;2740000.01;39999.99911;-1529999.971;850000.0238;5630000.114;11739999.77;4519999.981;5030000.21;4449999.809;38040000.92;1100000.024;1649999.976;340000.0036;30850000.38;35919998.17;36459999.08;53139999.39;45569999.69;69769996.64;64180000.31;61110000.61;68069999.69;70059997.56;56599998.47;69669998.17;59330001.83;37189998.63;32639999.39;31780000.69;38770000.46;41169998.17;40590000.15;38380001.07;42290000.92;42720001.22;46049999.24;45759998.32;54299999.24;58610000.61;57619998.93;59360000.61;58569999.69;62200000.76;70669998.17;83540000.92;93330001.83;104760002.1;111139999.4;null
Technical cooperation grants (BoP, current US$);BX.GRT.TECH.CD.WD;720000;1960000;2270000;3040000;4760000;4210000;11180000;11330000;6190000;12070000;12150000;12360000;13070000;13750000;17930000;20190000;13540000;21470000;22290000;26970000;18600000;15110000;12810000;21070000;19170000;22910000;23220000;71970000;83230000;83560000;98150000;149070000;109180000;112970000;91820000;101060000;97190000;80940000;94230000;84980000;64060000;57750000;58950000;72040000;76370000;73270000;69450000;76080000;75740000;76310000;73180000;75590000;93090000;89910000;86040000;85920000;87130000;103910000;113310000;139860000;137690000;155410000;null
Gross capital formation (% of GDP);NE.GDI.TOTL.ZS;25.1499235;25.1817751;24.42900863;19.24204226;26.61177038;31.85649699;34.21859322;34.146644;41.40166247;40.15457792;40.63640361;34.80559586;40.10562767;35.07305995;31.02928588;41.39515121;48.09033586;48.42888431;39.12511912;25.00817107;47.86489312;40.07582143;26.77318771;36.26825043;33.04526809;24.27498805;22.21311825;20.09297779;17.13393999;23.04793843;33.02184263;42.17457939;42.19989329;30.39529102;23.29458769;30.18017186;37.7860856;35.54283951;33.85893481;32.54166538;35.10053349;35.25181669;39.054111;42.10526704;45.99878784;38.71766358;38.64911736;39.72894514;41.75745309;40.89817092;40.26244925;36.01680358;36.35095818;34.94521152;36.93965714;31.98240852;29.10919934;31.79653682;31.53686656;null;null;null;null
Gross capital formation (current LCU);NE.GDI.TOTL.CN;79997990809;84444915634;86854324667;71838927957;1.08449E+11;1.49549E+11;1.75999E+11;1.95428E+11;2.70438E+11;2.96356E+11;3.37872E+11;3.62042E+11;5.21122E+11;6.54267E+11;9.69631E+11;1.46099E+12;2.30847E+12;2.75496E+12;2.15057E+12;1.59311E+12;3.23279E+12;3.22316E+12;2.84776E+12;4.94678E+12;4.92822E+12;3.8374E+12;3.55547E+12;3.90193E+12;3.75244E+12;6.27646E+12;1.25439E+13;2.26838E+13;3.03254E+13;3.22595E+13;3.25499E+13;5.95667E+13;1.02184E+14;1.12542E+14;1.19708E+14;1.54565E+14;2.20456E+14;2.60267E+14;3.99763E+14;5.29738E+14;7.53015E+14;7.85933E+14;9.43893E+14;1.29012E+15;1.62341E+15;1.67988E+15;2.02754E+15;2.48372E+15;2.87015E+15;3.71642E+15;4.52685E+15;3.87112E+15;4.19431E+15;5.3216E+15;6.78344E+15;null;null;null;null
Changes in inventories (current US$);NE.GDI.STKB.CD;-208573212.4;-98853832.63;18484899.03;-232005478.4;-30542853.31;35511506.97;334720332.1;-21791566.73;620894054.1;376533077.9;418915442.2;6666151.587;547618342.7;233407605.8;1415900142;-419376619.1;-834266121.1;-567940943.8;-6343110676;-5510120385;10325657419;6503665116;-5258810298;-4560637362;-10369574612;-15502167831;-16218772825;-8264743542;-9185973842;-1943980397;7537047917;null;null;1636509565;-1918001657;5294647337;7611414845;3295232770;1346019565;793969855.9;4159092507;-694763738.3;7471072926;14505655716;28051574589;23008657748;30363458407;39840392141;40552273137;41819896421;62844993648;43265981583;40370102810;36869304407;38471214673;26846709905;31934111066;47555549899;30943560132;null;null;null;null
Gross fixed capital formation (constant 2015 US$);NE.GDI.FTOT.KD;9870023621;10916704519;10052658675;11844922132;12748021585;17505184224;17569506039;21282636779;24173707466;26090502922;30061164866;35321734323;41404318516;47316555194;56852057841;77555765720;1.0959E+11;93490998188;86955911415;61270369463;62789752196;55437537086;60371075098;82894745551;73974501364;62073698205;58407025056;56096083768;42342877757;45432161679;47548526129;72495307402;69071252087;59468512563;52384197086;48895178099;61396696740;65912454554;66939764081;70360404620;76302120367;95073644524;1.0142E+11;1.07882E+11;1.16402E+11;1.21063E+11;1.19061E+11;1.36522E+11;1.5272E+11;1.5474E+11;1.5984E+11;1.67228E+11;1.27204E+11;1.12491E+11;1.2057E+11;1.03543E+11;1.01803E+11;1.01247E+11;85682219756;79646130731;82212784003;82223756081;85422700556
Exports of goods and services (constant 2015 US$);NE.EXP.GNFS.KD;20709696082;23219897092;26280750595;28945822619;32540120724;37872415758;42602434628;49511402619;56555882746;66915032760;75409277653;88386177992;1.01086E+11;1.12684E+11;1.10622E+11;99314238313;1.10114E+11;1.01471E+11;73854409699;57548886266;19506465435;17422595062;33683645828;41056844659;32584926653;29512782333;24698968032;36051420344;41106710153;44611747319;53805602278;62770001600;63699421458;69486645294;70451428060;64141612740;64588163439;61043009382;62474923463;60906215846;65857693859;61903121805;63927458238;73082468627;73925662947;75434341206;78420709764;78277749791;75908589719;75610059148;81277734670;80843312997;63872968559;62311944081;69429131284;76420864790;97377701953;97869539312;93583597478;77404553513;67474267975;70967531862;76116793462
Gross national expenditure (constant LCU);NE.DAB.TOTL.KN;1.25732E+15;1.28825E+15;1.30341E+15;1.35617E+15;1.46369E+15;1.69946E+15;1.88042E+15;2.1163E+15;2.39561E+15;2.62521E+15;2.90507E+15;3.19493E+15;3.9188E+15;4.20732E+15;6.05056E+15;7.95173E+15;9.39761E+15;9.60794E+15;8.60307E+15;7.00788E+15;7.22139E+15;6.79672E+15;6.72917E+15;7.97601E+15;7.17232E+15;7.00642E+15;6.32E+15;6.05426E+15;5.20493E+15;5.50721E+15;6.58008E+15;7.67336E+15;7.59725E+15;7.08909E+15;6.28687E+15;6.44225E+15;7.10244E+15;7.29487E+15;7.4858E+15;7.50621E+15;8.15708E+15;8.83307E+15;9.91777E+15;1.06722E+16;1.14709E+16;1.17726E+16;1.2511E+16;1.37444E+16;1.39778E+16;1.42697E+16;1.50576E+16;1.50443E+16;1.45128E+16;1.39911E+16;1.42106E+16;1.2345E+16;1.38222E+16;1.41969E+16;1.37529E+16;null;null;null;null
Gross national expenditure deflator (base year varies by country);NE.DAB.DEFL.ZS;0.029728157;0.030061134;0.030726147;0.02925973;0.03047719;0.030480369;0.030797022;0.030476051;0.031052355;0.03228076;0.033129695;0.035599281;0.036528118;0.042926742;0.045890018;0.049167328;0.054856107;0.06566557;0.071990484;0.088344947;0.118376948;0.148641418;0.169344828;0.196761869;0.236576492;0.241855184;0.276503621;0.331553636;0.451242541;0.526969863;0.645092673;0.805075939;1.0704901;1.453032399;1.978582727;2.894088064;3.713829054;4.320410321;4.951149758;6.10190642;7.527202761;8.220042806;10.04911925;11.54918752;14.25883607;15.86273769;18.0665298;21.41295099;25.99757381;27.79902049;31.4333849;41.93732931;53.03627336;72.03398842;83.74294891;99.0003994;100;114.0856307;149.6238016;null;null;null;null
